ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
liverpool_1_0001,Li2Ta0.25Ti0.75O3.125,,Li2 Ta0.25 Ti0.75 O3.125,9e-05,,,,,,,,,,,Rocksalt,10.1016/j.fusengdes.2010.04.003,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=1; measured_temperature_C=300; chemical_family=Oxides,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_14_0008,Li14Zn(GeO4)4,,Li14 Zn1 Ge4 O16,0.125,,,,,,,,,,,LISICON,10.1016/0025-5408(78)90075-2,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=14; measured_temperature_C=300; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_15_0009,Li0.6Y0.8P1O4,,Li0.6 Y0.8 P1 O4,0.037,,,,,,,,,,,Zircon,10.1016/0167-2738(89)90457-8,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=15; measured_temperature_C=600; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_16_0010,Li0.6Y0.8P1O4,,Li0.6 Y0.8 P1 O4,0.00054,,,,,,,,,,,Zircon,10.1016/0167-2738(89)90457-8,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=16; measured_temperature_C=400; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_19_0013,Li6.4La3Zr1.4Ta0.6O12,,Li6.4 La3 Zr1.4 Ta0.6 O12,0.00206,,,,,,,,,,,Garnet,10.1039/c2jm31413d,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=19; measured_temperature_C=34; chemical_family=Oxides,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_34_0025,Li2HClO,,Li2 H1 Cl1 O1,0.0028,,,,,,,,,,,Anti-Perovskite,10.1021/jacs.5b11851,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=34; measured_temperature_C=195; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_42_0032,Li6.4La3Zr1.7W0.3O12,,Li6.4 La3 Zr1.7 W0.3 O12,0.000789,,,,,,,,,,,Garnet,10.1063/1.4818971,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=42; measured_temperature_C=303; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_52_0036,Li0.361La0.55Ti0.995Al0.005O3,,Li0.361 La0.55 Ti0.995 Al0.005 O3,0.01,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=52; measured_temperature_C=100; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_53_0037,Li0.36La0.56Ti0.95Al0.05O3,,Li0.36 La0.56 Ti0.95 Al0.05 O3,0.0063,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=53; measured_temperature_C=119; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_54_0038,Li0.36La0.55Ti0.992Al0.008O3,,Li0.36 La0.55 Ti0.992 Al0.008 O3,0.00585,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=54; measured_temperature_C=100; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_55_0039,Li0.36La0.56Ti0.95Al0.05O3,,Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00398,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=55; measured_temperature_C=100; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_56_0040,Li0.361La0.55Ti0.995Al0.005O3,,Li0.361 La0.55 Ti0.995 Al0.005 O3,0.00396,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=56; measured_temperature_C=65; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_57_0041,Li0.36La0.56Ti0.95Al0.05O3,,Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00211,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=57; measured_temperature_C=70; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_58_0042,Li0.36La0.55Ti0.992Al0.008O3,,Li0.36 La0.55 Ti0.992 Al0.008 O3,0.00208,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=58; measured_temperature_C=60; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_59_0043,Li0.361La0.55Ti0.995Al0.005O3,,Li0.361 La0.55 Ti0.995 Al0.005 O3,0.0011,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=59; measured_temperature_C=35; chemical_family=Oxides,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_61_0045,Li0.36La0.56Ti0.95Al0.05O3,,Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00354,,,,,,,,,,,Perovskite,10.1007/bf02375549,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=61; measured_temperature_C=79.36; chemical_family=Oxides,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_62_0046,Li0.022La0.117Ti0.208Al0.001O0.626,,Li0.022 La0.117 Ti0.208 Al0.001 O0.626,0.0163,,,,,,,,,,,Perovskite,10.1007/bf02378009,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=62; measured_temperature_C=112; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_63_0047,Li0.022La0.117Ti0.208Al0.001O0.626,,Li0.022 La0.117 Ti0.208 Al0.001 O0.626,0.00574,,,,,,,,,,,Perovskite,10.1007/bf02378009,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=63; measured_temperature_C=72; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_66_0049,LiPO3,,Li1 P1 O3,9.8e-09,,,,,,,,,,,Glass,10.1007/s00339-007-4020-y,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=66; measured_temperature_C=255; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
liverpool_67_0050,LiPO3,,Li1 P1 O3,1.16e-07,,,,,,,,,,,Glass,10.1007/s00339-007-4020-y,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=67; measured_temperature_C=300; chemical_family=#N/A,,,,,,"Liverpool temperature outside room-temperature range [20, 30] C"
