ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
na5,,,,3.8e-07,,,,,,,,,,,polyoxometalates,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,unparseable formula: could not convert string to float: '1.0*'
v19,Li2.9Zr0.1In0.9Cl6,,Li2.9 Zr0.1 In0.9 Cl6,,,,,,,,,,,,halides,10.1021/acs.chemmater.1c01348,1,data/database/obelix/processed/all-v1.csv,,,,Curator row 19; Zr4+ doped; original 1.54 mS/cm at 20 C; synthesis_method=unknow; measured_temperature=20; amorphous=否; source_year=2021,,,,,,missing or unparseable room-temperature conductivity
v11,Li2.7Zr0.3In0.7Cl6,,Li2.7 Zr0.3 In0.7 Cl6,,,,,,,,,,,,halides,10.1016/j.cej.2022.135413,1,data/database/obelix/processed/all-v1.csv,,,,Curator row 11; Zr4+ doped; original 2.1 mS/cm at 30 C; synthesis_method=unknow; measured_temperature=30; amorphous=否; source_year=2022,,,,,,missing or unparseable room-temperature conductivity
v28,Li3In1Cl5.6F0.4,,Li3 In1 Cl5.6 F0.4,,,,,,,,,,,,halides,10.1016/j.jpowsour.2022.231939,1,data/database/obelix/processed/all-v1.csv,,,,Curator row 28; F- substitution; original 1.37 mS/cm at 30 C; synthesis_method=unknow; measured_temperature=30; amorphous=否; source_year=2022,,,,,,missing or unparseable room-temperature conductivity
v52,Li3InCl6,,Li3 In1 Cl6,,,,,,,,,,,,halides,10.1021/acsami.2c06216,1,data/database/obelix/processed/all-v1.csv,,,,Curator row 52; ethanol-mediated and heated at 200 C; corrected DOI; original 0.79 mS/cm at 20 C; synthesis_method=乙醇介导合成 + 200°C加热; measured_temperature=20; amorphous=否; source_year=2022,,,,,,missing or unparseable room-temperature conductivity
trv1_0034,Li2.2Zr0.9Zn0.1Cl6,,Li2.2 Zr0.9 Zn0.1 Cl6,,,,,,,,,,,,halide,10.1002/aenm.202405760,1,data/database/obelix/processed/all-v1.csv,,,,由图估算; synthesis_method=机械化学球磨; measured_temperature=30; amorphous=unknow; source_year=2024,,,,,,missing or unparseable room-temperature conductivity
trv1_0036,Li2.6Zr0.7Zn0.3Cl6,,Li2.6 Zr0.7 Zn0.3 Cl6,,,,,,,,,,,,halide,10.1002/aenm.202405760,1,data/database/obelix/processed/all-v1.csv,,,,由图估算; synthesis_method=机械化学球磨; measured_temperature=30; amorphous=unknow; source_year=2024,,,,,,missing or unparseable room-temperature conductivity
trv1_0037,Li2.8Zr0.6Zn0.4Cl6,,Li2.8 Zr0.6 Zn0.4 Cl6,,,,,,,,,,,,halide,10.1002/aenm.202405760,1,data/database/obelix/processed/all-v1.csv,,,,由图估算; synthesis_method=机械化学球磨; measured_temperature=30; amorphous=unknow; source_year=2024,,,,,,missing or unparseable room-temperature conductivity
trv1_0038,Li3Zr0.5Zn0.5Cl6,,Li3 Zr0.5 Zn0.5 Cl6,,,,,,,,,,,,halide,10.1002/aenm.202405760,1,data/database/obelix/processed/all-v1.csv,,,,由图估算; synthesis_method=机械化学球磨; measured_temperature=30; amorphous=unknow; source_year=2024,,,,,,missing or unparseable room-temperature conductivity
trv1_0039,Li2ZrCl6,,Li2 Zr1 Cl6,,,,,,,,,,,,halide,10.1002/aenm.202405760,1,data/database/obelix/processed/all-v1.csv,,,,空气暴露后; synthesis_method=机械化学球磨; measured_temperature=30; amorphous=unknow; source_year=2024,,,,,,missing or unparseable room-temperature conductivity
