ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
5z0,Li5AlO4,,Li5 Al1 O4,5e-10,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19713800303; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,
9zk,Li5GaO4,,Li5 Ga1 O4,5e-09,,,,,,,,,,,oxides,10.1016/0025-5408(76)90169-0,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1976,,,,,
6l9,Li4B7ClO12,,Li4 B7 Cl1 O12,2e-06,,,,,,,,,,,boracites,10.1107/s0567740877009443,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1977,,,,,
r5y,Li2CdCl4,,Li2 Cd1 Cl4,5.8e-07,,,,,,,,,,,chlorides,10.1016/0025-5408(81)90142-2,1,data/obelix/processed/all-v1.csv,,,,composition corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
bv2,LiYO2,,Li1 Y1 O2,1.8e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
t0h,Li2ZrO3,,Li2 Zr1 O3,6.1e-10,,,,,,,,,,,oxides,10.1016/0167-2738(81)90021-7,1,data/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
vy5,K0.1Li0.9Sb1O3,,K0.1 Li0.9 Sb1 O3,1.36e-08,,,,,,,,,,,oxides,10.1016/0167-2738(81)90178-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1981,,,,,
fft,Li3N,,Li3 N1,0.0002085,,,,,,,,,,,nitrides,10.1016/0167-2738(83)90045-0,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
yav,Li2VCl4,,Li2 V1 Cl4,6.95e-06,,,,,,,,,,,cholorides,10.1016/0167-2738(83)90223-0,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
bjw,Li2MnCl4,,Li2 Mn1 Cl4,4.79e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: icsd-69678; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
dvn,Li2MgCl4,,Li2 Mg1 Cl4,6.24e-07,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,
bsa,LiGaO2,,Li1 Ga1 O2,2.4e-14,,,,,,,,,,,oxides,10.1007/bf00549810,1,data/obelix/processed/all-v1.csv,,,,check cif file matching; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1984,,,,,
br1,Li3AlN2,,Li3 Al1 N2,5e-08,,,,,,,,,,,nitrides,10.1016/0167-2738(85)90106-7,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19482570102; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1985,,,,,
45e,Li2MgBr4,,Li2 Mg1 Br4,7.8e-10,,,,,,,,,,,halides,10.1002/chin.198639014|10.1149/1.2108704,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
ur9,LiZr2(PO4)3,,Li1 Zr2 P3 O12,1e-09,,,,,,,,,,,NASICON,10.1016/0025-5408(86)90194-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
iwe,Li1.3Sc0.3Ti1.7P3O12,,Li1.3 Sc0.3 Ti1.7 P3 O12,0.000407,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
ib2,Li1.1Sc0.1Ti1.9P3O12,,Li1.1 Sc0.1 Ti1.9 P3 O12,0.000158,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
ci1,Li1Zr1.8Ti0.2P3O12,,Li1 Zr1.8 Ti0.2 P3 O12,5.6e-08,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
08e,Li1Zr0.2Ti1.8P3O12,,Li1 Zr0.2 Ti1.8 P3 O12,8.5e-08,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
xkh,Li1Zr1.9Ti0.1P3O12,,Li1 Zr1.9 Ti0.1 P3 O12,3.2e-08,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
wng,Li1.2Hf1.8In0.2P3O12,,Li1.2 Hf1.8 In0.2 P3 O12,4e-06,,,,,,,,,,,NASICON,10.1016/0167-2738(86)90179-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,
tka,LiSi2N3,,Li1 Si2 N3,6.17e-08,,,,,,,,,,,nitride,10.1016/0167-2738(87)90119-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1987,,,,,
4kt,Li2CrCl4,,Li2 Cr1 Cl4,<1E-10,,,,,,,,,,,halides,10.1016/0022-4596(88)90301-5,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1988,,,,,
cmn,Li1.8Ti1.2Cr0.8P3O12,,Li1.8 Ti1.2 Cr0.8 P3 O12,0.00024,,,,,,,,,,,NASICON,10.1016/0167-2738(88)90291-3,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1988,,,,,
fwz,Li2SiS3,,Li2 Si1 S3,2e-06,,,,,,,,,,,thio-LISICON,10.1016/0025-5408(89)90053-6,1,data/obelix/processed/all-v1.csv,,,,appendix: diffraction data available；close match: Yes；close match DOI: mp-1210789; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
x94,Li4SiS4,,Li4 Si1 S4,4.93e-08,,,,,,,,,,,thio-LISICON,10.1016/0025-5408(89)90053-6,1,data/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
11b,Li3P,,Li3 P1,0.000703,,,,,,,,,,,phosphates,10.1016/0167-2738(89)90438-4,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
ctg,Li1.3La0.3Ti1.7P3O12,,Li1.3 La0.3 Ti1.7 P3 O12,0.000528,,,,,,,,,,,NASICON,10.1149/1.2096693,1,data/obelix/processed/all-v1.csv,,,,duplicate with line 274; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,
mdj,Li1.2Ti2Si0.2P2.8O12,,Li1.2 Ti2 Si0.2 P2.8 O12,8.6e-05,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
t1l,Li1.3Ti2Si0.3P2.7O12,,Li1.3 Ti2 Si0.3 P2.7 O12,0.00032,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
v1t,Li1.4Ti1.6Cr0.4P3O12,,Li1.4 Ti1.6 Cr0.4 P3 O12,0.000149,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
d6b,Li1.5Ti1.5Cr0.5P3O12,,Li1.5 Ti1.5 Cr0.5 P3 O12,0.000386,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
x9a,Li1.2Ti1.8Ga0.2P3O12,,Li1.2 Ti1.8 Ga0.2 P3 O12,0.000162,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
3ta,Li1.3Ti1.7Ga0.3P3O12,,Li1.3 Ti1.7 Ga0.3 P3 O12,0.000261,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
gjy,Li1.4Ti1.6Ga0.4P3O12,,Li1.4 Ti1.6 Ga0.4 P3 O12,0.000128,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
lz8,Li1.5Ti1.5Ga0.5P3O12,,Li1.5 Ti1.5 Ga0.5 P3 O12,0.000122,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
xr7,Li1.4Ti1.6Fe0.4P3O12,,Li1.4 Ti1.6 Fe0.4 P3 O12,0.000392,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
pg8,Li1.5Ti1.5Fe0.5P3O12,,Li1.5 Ti1.5 Fe0.5 P3 O12,0.000174,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1039/b312865b; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
do2,Li1.3Sc0.3Ti1.7P3O12,,Li1.3 Sc0.3 Ti1.7 P3 O12,0.000703,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
uaj,Li1.4Sc0.4Ti1.6P3O12,,Li1.4 Sc0.4 Ti1.6 P3 O12,0.000515,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
2eq,Li1.3Ti1.7In0.3P3O12,,Li1.3 Ti1.7 In0.3 P3 O12,0.000393,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
yn6,Li1.4Ti1.6In0.4P3O12,,Li1.4 Ti1.6 In0.4 P3 O12,0.000302,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
8jy,Li1.5Ti1.5In0.5P3O12,,Li1.5 Ti1.5 In0.5 P3 O12,0.000204,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
