n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),chi_range_x_r_avg,n_Li × r⁻ (pm)
0.5,3.44,1.9,76.0,138.2,68.5625,0.0714285714285714,435615304993.695,0.0657894736842105,242.08157142857135,69.1
0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.1428571428571428,38922178734970.95,0.2941176470588235,194.0952380952381,61.33333333333333
0.3333333333333333,2.58,2.19,17.0,184.0,52.35,0.1428571428571428,38922178734970.95,0.2941176470588235,194.0952380952381,61.33333333333333
0.4318181818181819,2.58,2.046,40.2,184.0,61.8125,0.1136363636363636,9041768954029.035,0.128388746803069,187.7636363636364,79.45454545454547
0.4011976047904191,2.58,2.127,27.15,184.0,58.22413793103448,0.1197604790419161,25849499455808.86,0.2216112531969309,189.5616766467066,73.82035928143712
0.3975903614457832,2.58,2.136,25.7,184.0,57.77906976744186,0.1204819277108433,27717025067117.73,0.2319693094629156,189.77349397590365,73.15662650602411
0.3939393939393939,2.58,2.145,24.25,184.0,57.3235294117647,0.1212121212121212,29584550678426.6,0.2423273657289002,189.9878787878788,72.48484848484848
0.3902439024390243,2.58,2.1539999999999995,22.8,184.0,56.85714285714285,0.1219512195121951,31452076289735.47,0.2526854219948849,190.2048780487805,71.80487804878047
0.4047619047619047,2.58,2.074,23.4,184.0,57.477272727272734,0.119047619047619,25056061853776.4,0.2249554367201426,188.36190476190475,74.47619047619047
0.3902439024390243,2.58,2.132,20.2,184.0,56.238095238095234,0.1219512195121951,31989120294373.67,0.2595365418894831,189.69756097560972,71.80487804878047
0.4449388209121245,3.44,1.9000000000000004,32.083333333333336,138.2,60.47344689378757,0.1101223581757508,14779601141006.926,0.1600648777119365,233.84023915461623,61.4905450500556
0.3,3.16,1.78,80.0,181.0,70.625,0.1,224091403271.3816,0.0375,298.333,54.3
