group_id,pair_id,化学式_a,化学式_b,电导率_a,电导率_b,电导率变化值,温度,合成方法,family,doi,absolute_change,absolute_threshold,log10_ratio_B_over_A,trend_label,trend_class,pair_weight_group_equal,delta_entropy_c_l,delta_log10_rho_plus_incl_li,delta_field_x_r_diff,delta_n_Li,delta_log_rho_ratio,delta_r_all_pm,delta_ir_mean_square_all,delta_atwt_geometric_mean_all,delta_chi_all,delta_chi_plus_excl_minus_chi_minus,delta_phi_plus_excl_li,delta_r_plus_incl_minus_r_minus,delta_chi_plus_incl_minus_chi_minus,delta_chi_range_x_r_avg,delta_r_plus_incl_li_pm,delta_rho_plus_excl_li_c_m3,delta_r_plus_excl_minus_r_minus,delta_n_li_x_r_minus_pm,mean_entropy_c_l,mean_log10_rho_plus_incl_li,mean_log10_phi_plus_incl_li,mean_field_x_r_diff,mean_n_Li,mean_r_all_pm,mean_atwt_geometric_mean_all,abs_delta_entropy_c_l,abs_delta_log10_rho_plus_incl_li,abs_delta_log10_phi_plus_incl_li,abs_delta_field_x_r_diff,composition_L1_distance,a_r_all_pm,a_chi_plus_excl_minus_chi_minus,a_chi_all,a_phi_plus_excl_li,a_field_x_r_diff,a_r_plus_incl_minus_r_minus,a_chi_plus_incl_minus_chi_minus,a_chi_range_x_r_avg,a_r_plus_incl_li_pm,a_rho_plus_excl_li_c_m3,a_r_plus_excl_minus_r_minus,a_n_li_x_r_minus_pm,b_r_all_pm,b_chi_plus_excl_minus_chi_minus,b_chi_all,b_phi_plus_excl_li,b_field_x_r_diff,b_r_plus_incl_minus_r_minus,b_chi_plus_incl_minus_chi_minus,b_chi_range_x_r_avg,b_r_plus_incl_li_pm,b_rho_plus_excl_li_c_m3,b_r_plus_excl_minus_r_minus,b_n_li_x_r_minus_pm
trgrp_0002,trpair_000001,Li6BaLa2Ta2O12,Li6SrLa2Ta2O12,4e-05,7e-06,-3.3e-05,RT,unknow,garnet_like,10.1002/adfm.200400044,3.3e-05,0.0001,-0.7569619513137056,unchanged,0,1.0,0.0,0.002402675172170632,-0.054105221971166184,0.0,0.0024026751721700768,-0.7867494824016603,-217.74228531992594,-0.4073189246176838,0.002608695652174031,0.01200000000000001,0.0003796052105809883,-1.645021645021643,0.005454545454545379,-8.707080745341557,-1.645021645021643,2297280873.759033,-3.6190476190476204,0.0,1.0549201679861442,11.275880112797596,-1.5660642487213323,-1.4837403492146457,0.2608695652173913,112.07453416149067,20.84903802493929,0.0,0.002402675172170632,0.002759035661538123,0.054105221971166184,0.08695652173913043,112.4679089026915,-2.222,2.3152173913043477,0.04178554460511409,-1.4566877382290626,-53.803463203463195,-2.3518181818181816,286.7931677018633,84.3965367965368,264870630547.40887,-33.52761904761904,36.052173913043475,111.68115942028984,-2.21,2.3178260869565217,0.04216514981569508,-1.5107929602002288,-55.44848484848484,-2.346363636363636,278.08608695652174,82.75151515151515,267167911421.1679,-37.14666666666666,36.052173913043475
trgrp_0003,trpair_000002,Li3YCl6,Li3YBr6,0.000539,0.00192,0.001381,RT,unknow,halides,10.1002/adma.201803075,0.001381,0.0001,0.5517124635168109,increase,1,1.0,0.0,0.0,-0.28391523362862614,0.0,0.10373248946187452,9.0,3393.0,14.973285393046115,-0.12000000000000055,0.20000000000000062,0.0,-15.0,0.20000000000000062,-9.869000000000028,0.0,0.0,-15.0,4.5,0.0,11.099464641133629,-1.7229025635944273,-2.1556264113253434,0.3,142.945,31.315951294319284,0.0,0.0,0.0,0.28391523362862614,1.2,138.445,-1.9400000000000002,2.3120000000000003,0.031266284523189164,-2.0136687945110303,-106.3875,-2.12,301.81010000000003,74.6125,129885365241.86926,-85.05000000000001,54.3,147.445,-1.7399999999999995,2.1919999999999997,0.031266284523189164,-2.2975840281396565,-121.3875,-1.9199999999999995,291.9411,74.6125,129885365241.86926,-100.05000000000001,58.8
trgrp_0004,trpair_000003,Li6PI3,Li3YbCl6,6.2e-4,≈4.0e-4,-0.00021999999999999998,RT,unknow,halides,10.1002/adma.202501838,0.00021999999999999998,0.0001,-0.1903316981702915,decrease,-1,0.16666666666666666,0.0,0.04245991634835811,0.08311753285543677,-0.3,-0.01088089644640955,9.829999999999998,28.74899999999252,6.195183031110503,0.8283333333333336,,,41.82500000000003,-0.6175000000000002,85.27939999999998,4.825000000000003,,,-76.50000000000001,0.0,11.11589254212689,-1.7668500406918466,-2.188070863201912,0.44999999999999996,132.615,22.372649723656867,0.0,0.04245991634835811,0.1249074642783563,0.08311753285543677,1.4000000000000001,127.7,,1.605,,-2.2296296296296303,-150.50000000000003,-1.5625,214.53600000000003,67.5,,,130.8,137.53,,2.4333333333333336,0.03456221198156682,-2.1465120967741935,-108.675,-2.18,299.8154,72.325,175442974409.871,-94.2,54.3
trgrp_0004,trpair_000004,Li6PI3,Li3LuCl6,6.2e-4,≈4.0e-4,-0.00021999999999999998,RT,unknow,halides,10.1002/adma.202501838,0.00021999999999999998,0.0001,-0.1903316981702915,decrease,-1,0.16666666666666666,0.0,0.005800365145589126,0.2121556007226748,-0.3,-0.04754044764917986,10.716666666666683,190.53611111110513,6.223405937277963,0.685,,,44.0416666666667,-0.6125000000000003,87.21233333333336,7.041666666666671,,,-76.50000000000001,0.0,11.097562766525504,-1.7758377414325928,-2.123551829268293,0.44999999999999996,133.05833333333334,22.3867611767406,0.0,0.005800365145589126,0.1069320627968644,0.2121556007226748,1.4000000000000001,127.7,,1.605,,-2.2296296296296303,-150.50000000000003,-1.5625,214.53600000000003,67.5,,,130.8,138.41666666666669,-2.16,2.29,0.0313588850174216,-2.0174740289069555,-106.45833333333333,-2.1750000000000003,301.7483333333334,74.54166666666667,131042820218.9991,-85.33333333333333,54.3
trgrp_0004,trpair_000005,Li6PI3,Li3YCl6,6.2e-4,≈4.0e-4,-0.00021999999999999998,RT,unknow,halides,10.1002/adma.202501838,0.00021999999999999998,0.0001,-0.1903316981702915,decrease,-1,0.16666666666666666,0.0,0.004802057180919306,0.21596083511859998,-0.3,-0.04853875561384968,10.74499999999999,195.96524999999383,4.554250389694609,0.7070000000000003,,,44.112500000000026,-0.5575000000000001,87.2741,7.112499999999997,,,-76.50000000000001,0.0,11.09706361254317,-1.776103168212726,-2.1216492120703303,0.44999999999999996,133.0725,21.55218340294892,0.0,0.004802057180919306,0.10640120923659757,0.21596083511859998,1.4000000000000001,127.7,,1.605,,-2.2296296296296303,-150.50000000000003,-1.5625,214.53600000000003,67.5,,,130.8,138.445,-1.9400000000000002,2.3120000000000003,0.031266284523189164,-2.0136687945110303,-106.3875,-2.12,301.81010000000003,74.6125,129885365241.86926,-85.05000000000001,54.3
trgrp_0004,trpair_000006,Li3YbCl6,Li3LuCl6,≈4.0e-4,≈4.0e-4,0.0,RT,unknow,halides,10.1002/adma.202501838,0.0,0.0001,0.0,unchanged,0,0.16666666666666666,0.0,-0.03665955120276898,0.12903806786723804,0.0,-0.03665955120277031,0.8866666666666845,161.7871111111126,0.028222906167460593,-0.14333333333333353,,-0.0032033269641452214,2.2166666666666686,0.004999999999999893,1.9329333333333807,2.2166666666666686,-44400154190.8719,8.866666666666674,0.0,0.0,11.118792724699684,-1.7133840092934145,-2.0819930628405743,0.3,137.97333333333336,25.48435269229585,0.0,0.03665955120276898,0.017975401481491904,0.12903806786723804,0.2,137.53,,2.4333333333333336,0.03456221198156682,-2.1465120967741935,-108.675,-2.18,299.8154,72.325,175442974409.871,-94.2,54.3,138.41666666666669,-2.16,2.29,0.0313588850174216,-2.0174740289069555,-106.45833333333333,-2.1750000000000003,301.7483333333334,74.54166666666667,131042820218.9991,-85.33333333333333,54.3
trgrp_0004,trpair_000007,Li3YbCl6,Li3YCl6,≈4.0e-4,≈4.0e-4,0.0,RT,unknow,halides,10.1002/adma.202501838,0.0,0.0001,0.0,unchanged,0,0.16666666666666666,0.0,-0.0376578591674388,0.1328433022631632,0.0,-0.03765785916744013,0.914999999999992,167.2162500000013,-1.640932641415894,-0.1213333333333333,,-0.0032959274583776593,2.2874999999999943,0.06000000000000005,1.994700000000023,2.2874999999999943,-45557609168.00174,9.149999999999991,0.0,0.0,11.118293570717348,-1.713649436073548,-2.080090445642612,0.3,137.9875,24.64977491850417,0.0,0.0376578591674388,0.018506255041758735,0.1328433022631632,0.2,137.53,,2.4333333333333336,0.03456221198156682,-2.1465120967741935,-108.675,-2.18,299.8154,72.325,175442974409.871,-94.2,54.3,138.445,-1.9400000000000002,2.3120000000000003,0.031266284523189164,-2.0136687945110303,-106.3875,-2.12,301.81010000000003,74.6125,129885365241.86926,-85.05000000000001,54.3
trgrp_0004,trpair_000008,Li3LuCl6,Li3YCl6,≈4.0e-4,≈4.0e-4,0.0,RT,unknow,halides,10.1002/adma.202501838,0.0,0.0001,0.0,unchanged,0,0.16666666666666666,0.0,-0.00099830796466982,0.003805234395925172,0.0,-0.00099830796466982,0.028333333333307564,5.429138888888701,-1.6691555475833546,0.02200000000000024,0.21999999999999997,-9.260049423243794e-05,0.07083333333332575,0.05500000000000016,0.06176666666664232,0.07083333333332575,-1157454977.129837,0.2833333333333172,0.0,0.0,11.099963795115965,-1.7226371368142939,-2.0155714117089927,0.3,138.43083333333334,24.6638863715879,0.0,0.00099830796466982,0.0005308535602668307,0.003805234395925172,0.2,138.41666666666669,-2.16,2.29,0.0313588850174216,-2.0174740289069555,-106.45833333333333,-2.1750000000000003,301.7483333333334,74.54166666666667,131042820218.9991,-85.33333333333333,54.3,138.445,-1.9400000000000002,2.3120000000000003,0.031266284523189164,-2.0136687945110303,-106.3875,-2.12,301.81010000000003,74.6125,129885365241.86926,-85.05000000000001,54.3
trgrp_0009,trpair_000009,Li2.4Zr0.8Zn0.2Cl6,Li2ZrCl6,1.00e-3,4.17e-4,-0.000583,27（外推）,机械化学球磨,halides,10.1002/aenm.202405760,0.000583,0.0001,-0.3798639450262425,decrease,-1,1.0,-0.5004024235381879,0.02825170827068746,-0.2717160717343434,-0.03309692671394798,0.028251708270687237,3.496453900709213,840.3416075650057,1.738186641481903,0.05669030732860536,-0.06400000000000006,0.004315816197004316,1.0392156862745168,-0.005098039215686079,7.622269503546079,1.0392156862745168,14361117708.495422,2.1333333333333258,-5.990543735224584,0.25020121176909393,11.2654469919831,-1.5920101525099877,-2.8309035975611283,0.2387706855791962,142.58510638297872,26.538731611596095,0.5004024235381879,0.02825170827068746,0.04580024274307748,0.2717160717343434,0.10874704491725772,140.83687943262413,-1.766,2.415531914893617,0.046966235085046965,-2.6950455616939566,-111.03921568627452,-2.0582352941176474,307.0243971631206,69.96078431372548,308005517138.5388,-105.13333333333333,46.212765957446805,144.33333333333334,-1.83,2.4722222222222223,0.05128205128205128,-2.9667616334283,-110.0,-2.0633333333333335,314.6466666666667,71.0,322366634847.03424,-103.0,40.22222222222222
trgrp_0010,trpair_000010,Li3Zr0.5Zn0.5Cl6,Li2.8Zr0.6Zn0.4Cl6,~3.0e-4,~6.0e-4,0.0003,30,机械化学球磨,halides,10.1002/aenm.202405760,0.0003,0.0001,0.3010299956639812,increase,1,0.06666666666666667,-0.020135513550688766,0.01046831477572141,-0.09391115247821169,-0.01428571428571429,0.010468314775721188,1.50918367346938,362.71887755102216,0.6739801210214189,0.024469387755101657,-0.031999999999999806,0.002157908098502158,0.34868421052631504,-0.0017105263157892736,3.2900204081632296,0.34868421052631504,7180558854.247742,1.066666666666677,-2.585714285714289,0.683079423784601,11.222407579854055,-1.6638931002315613,-2.429614122542454,0.2928571428571428,136.87125850340135,23.83362875135817,0.020135513550688766,0.01046831477572141,0.018140404950814926,0.09391115247821169,0.046938775510204006,136.11666666666667,-1.6700000000000002,2.339,0.04049251078954049,-2.382658546303348,-112.20833333333333,-2.0525,296.7343333333334,68.79166666666667,286463840575.7957,-108.33333333333334,54.3,137.62585034013605,-1.702,2.3634693877551016,0.04265041888804265,-2.4765696987815597,-111.85964912280701,-2.0542105263157895,300.0243537414966,69.14035087719299,293644399430.04346,-107.26666666666667,51.71428571428571
