compound	icsd_collectioncode	conductivity_doi	conductivity_siemens_per_cm	lowest_extrapolation_temperature_K
LiAlSiO4	55665	10.1016/0375-9601(75)90788-4	5.82E-14	410
Li1.5Fe0.5Ti1.5(PO4)3	55751	10.1149/1.2086597	0.000174	na
Pb6.12Ca1.9Li1.96(PO4)6	59615	10.1006/jssc.2002.9596	2.25E-16	700
Li4SiS4	59708	10.1016/0025-5408(89)90053-6	2.76E-08	na
LiGaBr4	61337	10.1016/S0167-2738(00)00491-4	7.00E-06	na
Li6ZnO4	62137	10.1016/0025-5408(76)90169-0	6.20E-11	400
Li2.08Ti0.92In1.08P3O12	65051	10.1016/S0167-2738(96)00565-6	8.30E-06	418
Li2B4O7	65930	(No DOI) Ionic conductivity of crystalline and glassy Li2B4O7 Physics and Chemistry of Glasses. 2003 Apr 1;44(2):166-9.	5.96E-09	323
LiPN2	66007	10.1016/0167-2738(90)90432-Q	2.16E-09	400
Li3.5Ge0.5V0.5O4	66576	10.1016/0025-5408(80)90249-4	4.20E-05	na
Li3OBr	67265	10.1016/j.ssi.2015.11.027	1.02E-05	na
Li2Ge7O15	68247	10.1016/0025-5408(76)90235-X	5.00E-16	526
Li7PN4	69017	10.1016/0167-2738(90)90432-Q	1.60E-07	400
Li3Fe2P3O12	69345	10.1016/0167-2738(90)90442-T	1.17E-08	370
Li2MnCl4	69678	10.1016/0167-2738(83)90223-0	4.79E-06	na
LiGe2(PO4)3	69763	10.1021/acsami.8b00842	4.83E-09	na
LiLaNb2O7	72566	10.1016/0925-8388(93)90192-P	4.95E-12	515
Li6FeCl8	73217	10.1002/zaac.19875531020	1.81E-08	373.15
Li2MgBr4	73276	10.1149/1.2108704	7.80E-10	385
Li6Zr2O7	73835	10.3103/S1062873810050199	1.60E-13	491
Li2MgCl4	74957	10.1016/0167-2738(83)90223-0	6.24E-07	na
Li2CdCl4	74958	10.1016/0025-5408(81)90142-2	8.80E-07	473
Li2VCl4	74959	10.1016/0167-2738(83)90223-0	6.95E-06	na
Li2.88PO3.73N0.14	79426	10.1006/jssc.1995.1140	1.40E-13	425
Li3PO4	79427	10.1006/jssc.1995.1140	4.20E-18	540
LiGa(Si2O6)	80924	10.1016/0167-2738(87)90048-8	2.74E-13	395
Nd0.54Li0.36TiO3	81047	10.1016/S0022-3697(96)00226-0	3.42E-08	na
Pr0.51Li0.39TiO2.96	81048	10.1016/S0022-3697(96)00226-0	5.34E-07	na
LiAlSi3O8	81980	10.4028/www.scientific.net/KEM.790.9	7.19E-09	375
Li0.33La0.5TiO3	82671	10.1016/0038-1098(93)90841-A	0.001	na
La0.58Li0.27TiO3	82672	10.1016/S0167-2738(98)00070-8	0.000599	na
Li0.284Sm4.512Si3O12.91	83279	10.1016/0167-2738(95)00240-5	5.05E-12	480
Li0.87Hf2.032P3O12	83501	10.1021/cm970078n	9.20E-08	370
LiSn2(PO4)3	83832	10.1149/1.2220723	2.04E-09	na
Li6NBr3	84091	10.1016/j.jallcom.2015.01.082	9.47E-09	338
Li3AlF6	85171	10.1149/2.012206eel	4.70E-12	473
Li2MgTi3O8	86165	10.1039/A800234G	3.26E-11	436
Li2CoTi3O8	86166	10.1039/A800234G	9.62E-19	622
Li2CoGe3O8	86167	10.1039/A800234G	1.58E-21	713
Li2NiGe3O8	86168	10.1039/A800234G	4.88E-09	336
Li2ZnGe3O8	86169	10.1039/A800234G	2.70E-31	835
Li4SrN2	87413	10.1002/anie.198917021	2.30E-13	703
Li4Sr3Nb5.77Fe0.23O19.77	87823	10.1021/cm980736j	1.90E-11	360
Li4Sr3Nb6O20	87824	10.1021/cm980736j	2.35E-12	389
Li3InCl6	89617	10.1002/anie.201909805	0.00204	na
La0.5Li0.5O3Ti1	91810	10.1557/PROC-575-337	0.000309847	na
Li(LaTiO4)	91843	10.4028/www.scientific.net/MSF.321-324.965	4.98E-15	563
Li(NdTiO4)	91844	10.4028/www.scientific.net/MSF.321-324.965	7.68E-16	694
Li4GeS4	92200	10.1016/S0167-2738(00)00277-0	2.00E-07	na
La0.64Li0.08TiO3	92228	10.1016/S0167-2738(00)00761-X	0.000335	na
La0.625Li0.125TiO3	92229	10.1016/S0167-2738(00)00761-X	0.00044098	na
La0.595Li0.215TiO3	92234	10.1016/S0167-2738(00)00761-X	0.000853	na
La0.565Li0.305TiO3	92235	10.1016/S0167-2738(00)00761-X	0.000957	na
La0.5Li0.5TiO3	92237	10.1016/S0167-2738(00)00761-X	0.000925	na
Li2ZrO3	94894	10.1016/0167-2738(81)90021-7	1.32E-14	386
Li3.333Mg0.333P2S6	95606	10.1016/S0167-2738(02)00007-3	6.77E-09	na
Li2.667Mg0.667P2S6	95607	10.1016/S0167-2738(02)00007-3	1.31E-06	na
LiZnPS4	95785	10.1021/acs.chemmater.7b05108	5.40E-08	na
LiTi2(PO4)3	95979	10.1021/acs.inorgchem.6b02274	7.61E-06	na
Li0.18La0.61TiO3	99398	10.1039/C7TA00196G	0.0002	na
r-LiAlO2	99517	10.1016/0167-2738(81)90021-7	3.38E-17	523
Li14Zn(GeO4)4	100169	10.1016/0022-4596(88)90179-X	0.000103	473
Li5.74Si0.08Sb0.92S4.99I1.01	101866	10.1021/jacs.9b08357	6.70E-06	na
Li6.16Si0.62Sb0.38S5.07I0.93	101867	10.1021/jacs.9b08357	0.019	na
Li6.47Sn0.2Sb0.8S4.97I1.03	101868	10.1021/jacs.9b08357	0.00012	na
Li6.07Si0.34Sb0.66S5.01I0.99	101869	10.1021/jacs.9b08357	0.00414	na
Li6.22Ge0.43Sb0.57S5I	101870	10.1021/jacs.9b08357	0.0063	na
Li5.96Ge0.22Sb0.78S5.01I0.99	101871	10.1021/jacs.9b08357	0.00087	na
Li6.28Si0.45Sb0.55S5.04I0.96	101872	10.1021/jacs.9b08357	0.00998	na
"	Al0.973Li3.126S3"	101899	10.1021/acs.chemmater.9b03230	1.30E-08	na
Li2.33PSi0.17	109212	10.1021/jacs.9b05301	0.00109	na
Li4GeS2Se2	111751	10.1021/acs.chemmater.0c04150	2.60E-05	na
Li4GeS3Se	111752	10.1021/acs.chemmater.0c04150	8.54E-06	na
Li4GeSSe3	111753	10.1021/acs.chemmater.0c04150	1.51E-05	na
Li4GeSe4	111754	10.1021/acs.chemmater.0c04150	4.87E-06	na
Li4SnS2Se2	111755	10.1021/acs.chemmater.0c04150	3.38E-05	na
Li4SnS3Se	111756	10.1021/acs.chemmater.0c04150	9.33E-07	na
Li4SnS0.9Se3.1	111757	10.1021/acs.chemmater.0c04150	7.43E-05	na
Li4SnSe4	111758	10.1021/acs.chemmater.0c04150	4.79E-08	na
Li4Ge0.18Sn0.82Se4	111759	10.1021/acs.chemmater.0c04150	6.93E-07	na
Li4Ge0.5Sn0.5Se4	111760	10.1021/acs.chemmater.0c04150	1.78E-06	na
Li4Ge0.75Sn0.25Se4	111761	10.1021/acs.chemmater.0c04150	5.48E-06	na
Li4GeO4	112252	10.1021/acs.chemmater.0c04150	2.60E-06	na
Li2(OH)Cl	120969	10.1016/j.jssc.2020.121263	6.77E-09	na
Li2(OH)Br	120970	10.1016/j.jssc.2020.121263	1.33E-07	na
Li3.55(Ge0.416Si0.12V0.464)O4	121102	10.1016/j.jssc.2020.121651	5.80E-05	na
Li9.54Si1.74P1.44S11.4Cl0.3O0.3	121540	10.1021/acs.chemmater.0c02351	0.028	na
Li5.82PS4.7ClBr	121997	10.1021/acs.chemmater.0c04650	0.00502	na
Li5.58PS4.7ClBr0.3	121998	10.1021/acs.chemmater.0c04650	0.0124	na
Li5.64PS4.5ClBr0.5	121999	10.1021/acs.chemmater.0c04650	0.017	na
Li5.52PS4.3ClBr0.7	122000	10.1021/acs.chemmater.0c04650	0.024	na
Li6PS5Br	122370	10.1021/acs.chemmater.1c01170	0.00023	na
Li6PS5CN	122371	10.1021/acs.chemmater.1c01170	6.00E-05	na
Li3InCl6	122395	10.1021/acs.chemmater.1c01348	0.00047	na
Li2.9In0.9Zr0.1Cl6	122396	10.1021/acs.chemmater.1c01348	0.000801	na
Li2.8In0.78Zr0.18Cl6	122397	10.1021/acs.chemmater.1c01348	0.000763	na
Li2.66In0.69Zr0.29Cl6	122398	10.1021/acs.chemmater.1c01348	0.000949	na
Li2.6In0.6Zr0.4Cl6	122399	10.1021/acs.chemmater.1c01348	0.00125	na
Li2.5In0.5Zr0.5Cl6	122400	10.1021/acs.chemmater.1c01348	0.000882	na
LiScP2S6	130090	10.1002/zaac.201800363	4.50E-11	na
LiScP2S6	130091	10.1002/zaac.201800363	1.20E-09	na
Li2.925Sc0.358P2S6	130092	10.1002/zaac.201800363	1.90E-06	na
Li4Ge0.228Sn0.772S4	130194	10.1021/acs.chemmater.9b01059	2.80E-07	na
Li4Ge0.496Sn0.504S4	130195	10.1021/acs.chemmater.9b01059	2.01E-07	na
Li4Ge0.721Sn0.279S4	130196	10.1021/acs.chemmater.9b01059	8.80E-08	na
Li4SnS4	130197	10.1021/acs.chemmater.9b01059	1.43E-06	na
Li4GeS4	130198	10.1021/acs.chemmater.9b01059	1.79E-07	na
Li4Cu8Ge3S12(H2O)	130546	10.1002/anie.201901739	9.00E-05	na
Li10GeP2S12	131108	10.1021/acs.chemmater.9b01550	0.0065	na
Li6PS5Cl	131109	10.1021/acs.chemmater.9b01550	0.0023	na
Li6PS5Br	133005	10.1021/acs.chemmater.9b03852	0.00153	na
Li6PS5Br	133006	10.1021/acs.chemmater.9b03852	0.0018	na
Li6PS5Br	133007	10.1021/acs.chemmater.9b03852	0.00199	na
Li6PS5Br	133008	10.1021/acs.chemmater.9b03852	0.00184	na
Li6PS5Br	133009	10.1021/acs.chemmater.9b03852	0.000983	na
Li6PS5Br	133010	10.1021/acs.chemmater.9b03852	0.00108	na
Li6PS5Br	133011	10.1021/acs.chemmater.9b03852	0.001	na
Li6PS5Br	133012	10.1021/acs.chemmater.9b03852	0.00891	na
Li6PS5Br	133013	10.1021/acs.chemmater.9b03852	0.000521	na
Li6PS5Cl	133976	10.1021/acs.chemmater.0c02418	0.0034	na
Li6.77La3Zr1.95Nb0.05O12	134058	10.1021/acs.inorgchem.0c02161	0.000321	na
Li6.5La3Zr1.5Ta0.5O12	135340	10.1002/celc.201800679	0.00127	na
Li1.9W2O6.95	135737	10.1021/acs.inorgchem.1c00609	3.94E-15	526
Li6.4Ge0.11La3Zr2O12	140546	10.1016/j.ssi.2019.04.021	0.00028	na
Li15P4S16Cl3	141256	10.1021/acs.inorgchem.9b01751	1.00E-07	na
LiIn2SbO6	141482	10.1021/acs.chemmater.0c01491	3.17E-15	623
Li5.77PS5Br	141510	10.1021/acs.chemmater.9b05331	0.00548	na
LiHCB11H5Cl6	141993	10.1021/acs.chemmater.9b04383	4.48E-09	na
LiHCB11H5Br6	141995	10.1021/acs.chemmater.9b04383	6.21E-09	na
La2Li1.62Nb0.17O10Ti2.83	142557	10.1021/acs.inorgchem.0c00962	4.26E-09	na
Li2La1.8Ti2.4Nb0.6O10	142566	10.1021/acs.inorgchem.0c00962	2.92E-09	na
Li6(SiO4)Cl2	143285	10.1021/acs.chemmater.1c00157	1.97E-10	373
Li6B7S13I	143928	10.1021/jacs.1c00941	0.000476	na
Li4.4B10S18Cl1.8	143975	10.1002/anie.202013339	0.00052	na
Li5.6B10S18Br1.7	143976	10.1002/anie.202013339	0.000942	na
Li6.8B10S18I1.6	143977	10.1002/anie.202013339	0.00142	na
Li3.75Ge0.75V0.25O4	150918	10.1023/A:1026135806929	5.66E-06	na
Li3.70Ge0.85W0.15O4	150920	10.1023/A:1026135806929	3.80E-05	na
Li0.31La0.63((Ti0.9Co0.1)O3	151533	10.1016/j.mseb.2004.07.003	0.00026	na
Li0.19La0.67(Ti0.9Co0.1)O3	151535	10.1016/j.mseb.2004.07.003	0.000108	na
La0.65Li0.05(Mg0.5W0.5)O3	151900	10.1016/j.ssi.2004.05.010	1.80E-07	na
La0.63Li0.11(Mg0.5W0.5)O3	151901	10.1016/j.ssi.2004.05.010	6.80E-06	na
La0.62 Li0.14(Mg0.5W0.5)O3	151902	10.1016/j.ssi.2004.05.010	1.20E-05	na
Li0.2Ca0.4TaO3	151936	10.1016/j.solidstatesciences.2004.05.006	3.53E-09	373
Li0.2(Ca0.36Sr0.04)TaO3	151937	10.1016/j.solidstatesciences.2004.05.006	9.20E-09	373
Li5La3Ta2O12	154400	10.1111/j.1151-2916.2003.tb03318.x	1.20E-06	313
Li3BN2	155126	10.1016/0022-4596(87)90135-6	1.56E-10	380
Li7BiO6	155950	10.1021/ic030208w	8.80E-07	323
Li3N	156894	10.1016/0167-2738(83)90045-0	0.0003	na
Li6SrLa2Nb2O12	157628	10.1111/j.1551-2916.2005.00060.x	4.20E-06	na
Li7P3S11	157654	10.1016/j.ssi.2007.05.020	0.0032	na
Li4BN3H10	158180	10.1021/Ja907249p	0.0002	na
Li5La3Bi2O12	158372	10.1016/j.mseb.2007.07.009	4.00E-05	na
Li6La2SrBi2O12	158373	10.1016/j.mseb.2007.07.009	5.20E-05	na
Li5Nd3Sb2O12	159426	10.1016/j.materresbull.2007.04.002	1.30E-07	na
Li3.05Nd3Te1.95Sb0.05O12	159728	10.1021/cm703677q	1.09E-11	373
Li3.1Nd3Te1.9Sb0.1O12 	159729	10.1021/cm703677q	1.98E-09	320
Li3.2Nd3Te1.8Sb0.2O12	159730	10.1021/cm703677q	1.02E-08	673
"	Li3.5Nd3Te1.5Sb0.5O12"	159731	10.1021/cm703677q	9.58E-08	673
Li4Nd3TeSbO12	159732	10.1021/cm703677q	7.63E-09	na
Li4.5Nd3Te0.5Sb1.5O12	159733	10.1021/cm703677q	1.47E-08	673
Li5La3Sb2O12	161342	10.1016/j.materresbull.2007.10.035	8.20E-06	na
Li6SrLa2Sb2O12	161343	10.1016/j.materresbull.2007.10.035	6.60E-06	na
Li6(La2Ca)(NbO6)2	161386	10.1016/j.ssi.2008.01.047	1.33E-06	na
Li6(La2Sr)(NbO6)2	161387	10.1016/j.ssi.2008.01.047	3.69E-06	na
La3Li5O12Sb2	161389	"	10.1016/j.ssi.2008.01.002"	2.38E-07	313
Li1.4(Al0.4Ge0.2Ti1.4)(PO4)3	163298	10.3166/acsm.32.561-572	0.002	na
Li1.6(Al0.6Ge0.2Ti1.2)(PO4)3	163299	10.3166/acsm.32.561-572	2.00E-05	na
Li1.2(Al0.2Ge0.4Ti1.4)(PO4)3	163300	10.3166/acsm.32.561-572	0.0007	na
Li1.4(Al0.4Ge0.4Ti1.2)(PO4)3	163301	10.3166/acsm.32.561-572	0.001	na
Li1.6(Al0.6Ge0.4Ti)(PO4)3	163302	10.3166/acsm.32.561-572	0.0001	na
Li1.2(Al0.2Ge0.6Ti1.2)(PO4)3	163303	10.3166/acsm.32.561-572	0.0007	na
Li1.4(Al0.4Ge0.6Ti)(PO4)3	163304	10.3166/acsm.32.561-572	0.001	na
Li1.6(Al0.6Ge0.6Ti0.8)(PO4)3	163305	10.3166/acsm.32.561-572	0.0004	na
Li6CaLa2Ta2O12	163860	10.1016/j.ssi.2008.10.022	2.20E-06	na
Li6BaLa2Ta2O12	163861	10.1016/j.ssi.2008.10.022	1.30E-05	na
"	La0.5Li0.5O3Ti1"	165472	10.1016/j.ssi.2009.08.002	0.001	na
La0.5Li0.3Na0.2O3Ti1	165481	10.1016/j.ssi.2009.08.002	3.64E-05	na
Li3(NH2)2I	167528	10.1021/cm1006857	1.00E-05	na
Li(Li0.34Ti1.66)O4	168137	10.1016/j.ssi.2010.06.003	6.03E-08	313.6446123
(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4	168139	10.1016/j.ssi.2010.06.003	1.73E-08	322.9910545
(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4	168141	10.1016/j.ssi.2010.06.003	4.24E-09	333.3596838
(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4	168142	10.1016/j.ssi.2010.06.003	1.51E-09	342.9708111
(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4	168144	10.1016/j.ssi.2010.06.003	6.56E-10	353.2801133
(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4	168145	10.1016/j.ssi.2010.06.003	1.53E-11	402.7589257
Li2Mg2(MoO4)3	170956	10.1039/B301189E	4.19E-13	473.15
Li5La3Nb2O12	171171	10.1111/j.1151-2916.2003.tb03318.x	1.00E-05	na
Li7La3Hf2O12	174202	10.1016/j.jssc.2009.10.030	9.85E-07	na
Li3PS4	180318	10.1021/ja3110895	2.60E-07	373
Li3PS4	180319	10.1021/ja3110895	8.93E-07	473
Li0.4Na0.1La0.5Nb2O6	180629	10.1134/S002016851103006X	9.92E-06	na
Li0.3Na0.2La0.5Nb2O6	180630	10.1134/S002016851103006X	1.11E-05	na
Li0.2Na0.3La0.5Nb2O6	180631	10.1134/S002016851103006X	1.18E-05	na
Li0.1Na0.4La0.5Nb2O6	180632	10.1134/S002016851103006X	1.21E-05	na
Li0.07Na0.43La0.5Nb2O6	180633	10.1134/S002016851103006X	1.23E-05	na
Li0.04Na0.46La0.5Nb2O6	180634	10.1134/S002016851103006X	5.91E-06	na
Li0.02Na0.48La0.5Nb2O6	180635	10.1134/S002016851103006X	3.99E-06	na
Li(Ti1.4Sn0.6)(PO4)3	183672	10.1016/j.physb.2011.11.006	2.28E-05	na
Li(Ti0.6Sn1.4)(PO4)3	183676	10.1016/j.physb.2011.11.006	9.42E-06	na
Li(Ti0.4Sn1.6)(PO4)3	183677	10.1016/j.physb.2011.11.006	3.15E-06	na
Li7La3Zr2O12	183684	10.1016/j.jssc.2009.05.020	1.63E-06	na
Li6.5La3Zr1.5Ta0.5O12	183686	10.1149/2.024205esl	0.00067	na
Li6.75La3Zr1.75Ta0.25O12	183873	10.1016/j.jpowsour.2012.01.131	0.00087	na
LiV(PO4)F	183876	10.1016/j.ssi.2013.04.002	8.10E-07	na
"	Li0.9Nb0.2O12P3Ti1.8"	184087	10.1016/j.ssi.2012.01.035	3.20E-08	na
Li7La3Zr2O12	184230	10.1016/j.materresbull.2012.01.027	2.85E-06	na
LiLa(PO3)4	184917	10.1016/j.physb.2012.03.077	6.25E-15	553
LiCe(BH4)3Cl	185218	10.1021/cm300792t	0.000103	na
Li6.06Al0.2La3Zr2O12	185539	10.1039/C1CP22108F	0.0004	na
Li6BaLa2Ta2O12	185602	10.1016/j.materresbull.2012.04.032	2.45E-05	na
(Li0.5Ce0.5)(MoO4)	186450	10.1007/s12039-011-0068-5	1.30E-08	na
(Li0.5Ce0.25Pr0.25)(MoO4)	186451	10.1007/s12039-011-0068-5	1.00E-09	na
(Li0.5Ce0.25Sm0.25)(MoO4)	186452	10.1007/s12039-011-0068-5	1.80E-10	na
Li2(PO2N)	188493	10.1016/j.ssi.2012.12.013	3.29E-08	353
Li(Li0.134Mn0.470Ni0.257Co0.138)O2	188649	10.1039/C3TA11040K	3.67E-07	na
Li(Li0.137Mn0.473Ni0.252Co0.137)O2	188650	10.1039/C3TA11040K	3.31E-06	na
Li(Li0.149Mn0.467Ni0.246Co0.137)O2	188651	10.1039/C3TA11040K	4.88E-06	na
Li(Li0.136Mn0.467Ni0.258Co0.139)O2	188652	10.1039/C3TA11040K	7.13E-07	na
Li10GePS12	188887	10.1039/C4TA05231E	0.0121	na
Nd3Zr2Al0.5Li5.5O12	189530	10.1039/C3TA13252H	3.90E-05	na
LiZr2(AsO4)3	190654	10.1134/S0020168514030091	1.12E-09	353
(La0.49Li0.461Sr0.049)(TiO3)	190825	10.1016/j.ceramint.2013.05.083	0.000709	na
(La0.46Li0.429Sr0.111)(TiO3)	190826	10.1016/j.ceramint.2013.05.083	0.000197	na
(La0.402Li0.368Sr0.230)(TiO3)	190827	10.1016/j.ceramint.2013.05.083	2.87E-05	na
Li0.25La0.25Sr0.5TiO3	190830	10.1016/j.ceramint.2013.05.083	1.56E-21	882
Li6.46Al0.081La3Zr2O12	191542	10.1016/j.ssi.2014.01.043	0.00049	na
Li1.15Y0.15Zr1.85(PO4)3	191891	10.1016/j.jpowsour.2013.03.175	0.00014	na
Li2(B3PO8)	192496	10.1039/C4DT01670J	5.17E-15	618
Li2(B3PO8)	193168	10.1016/j.ssi.2014.10.009	0.00052	na
Li10SnP2S12	193755	10.1021/ja407393y	0.007	na
Li4SnSe4	193768	10.1021/cm400541n	2.00E-05	na
Li10.35Ge1.35P1.65S12	193947	10.1039/C4TA05231E	0.0144	na
(Li6.26Al0.24)La3Zr2O12	195182	10.1016/j.ssi.2015.04.011	0.00031	na
CsLi5Mn(P2O7)2	196431	10.1039/C5DT04427H	3.37E-13	423
Li3(Li1.5Cr0.5Te)O6	196465	10.1016/j.materresbull.2015.12.011	2.13E-10	373
Li3(Li1.5Mn0.5Te)O6	196466	10.1016/j.materresbull.2015.12.011	9.89E-13	373
Li3(Li1.5Al0.5Te)O6	196467	10.1016/j.materresbull.2015.12.011	4.60E-13	373
Li2(OH)Br	200874	10.1002/ange.201604554	1.20E-06	na
