n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹)
0.5,3.44,1.9,76.0,138.2,0.0714285714285714,435615304993.695,0.0657894736842105
0.3333333333333333,2.58,2.19,17.0,184.0,0.1428571428571428,38922178734970.95,0.2941176470588235
0.3333333333333333,2.58,2.19,17.0,184.0,0.1428571428571428,38922178734970.95,0.2941176470588235
0.4318181818181819,2.58,2.046,40.2,184.0,0.1136363636363636,9041768954029.035,0.128388746803069
0.4011976047904191,2.58,2.127,27.15,184.0,0.1197604790419161,25849499455808.86,0.2216112531969309
0.3975903614457832,2.58,2.136,25.7,184.0,0.1204819277108433,27717025067117.73,0.2319693094629156
0.3939393939393939,2.58,2.145,24.25,184.0,0.1212121212121212,29584550678426.6,0.2423273657289002
0.3902439024390243,2.58,2.1539999999999995,22.8,184.0,0.1219512195121951,31452076289735.47,0.2526854219948849
0.4047619047619047,2.58,2.074,23.4,184.0,0.119047619047619,25056061853776.4,0.2249554367201426
0.3902439024390243,2.58,2.132,20.2,184.0,0.1219512195121951,31989120294373.67,0.2595365418894831
0.4449388209121245,3.44,1.9000000000000004,32.083333333333336,138.2,0.1101223581757508,14779601141006.926,0.1600648777119365
0.3,3.16,1.78,80.0,181.0,0.1,224091403271.3816,0.0375
0.2222222222222222,2.58,1.96,69.0,184.0,0.2222222222222222,465678965568.46185,0.0579710144927536
0.3,2.9599999999999995,1.22,95.95,196.0,0.1,129885365241.86926,0.0312662845231891
0.1666666666666666,3.16,1.61,46.25,181.0,0.1666666666666666,1159738156065.2483,0.0648648648648648
0.1666666666666666,2.96,1.81,54.5,196.0,0.1666666666666666,708770527763.9178,0.055045871559633
0.3333333333333333,2.58,1.96,69.0,184.0,0.1666666666666666,465678965568.46185,0.0579710144927536
0.1666666666666666,2.58,1.1042857142857143,98.3061224489796,184.0,0.3888888888888889,216097266537.64493,0.0251874299275261
0.0833333333333333,3.44,1.7299999999999998,51.66666666666666,138.2,0.25,13362125382964.031,0.1463483944302358
0.3,2.66,1.24,97.525,220.00000000000003,0.1,123693614447.82272,0.0307613432453217
0.3333333333333333,2.58,1.9,33.0,184.0,0.1666666666666666,4256886531984.5776,0.1212121212121212
0.0169491525423728,3.44,1.3682926829268294,83.31626016260162,138.2,0.3474576271186441,447826758008.1906,0.0501552908426833
0.0294117647058823,3.44,1.371604938271605,82.87613168724279,138.2,0.3403361344537815,452514215630.786,0.0504631691535756
0.0446985446985446,3.44,1.3758620689655174,82.31044932079415,138.2,0.3316008316008315,458538847684.9055,0.0508588748196126
0.0444444444444444,3.44,1.478076923076923,76.27930402930403,138.2,0.2888888888888889,581866018359.9485,0.0655203580842014
0.0333333333333333,3.44,1.4577777777777778,77.65520282186948,138.2,0.3,561286030594.2944,0.0634202011517051
0.0111111111111111,3.44,1.4213793103448276,80.12233169129722,138.2,0.3222222222222222,524383983566.225,0.0596544025141255
0.0077777777777777,3.44,1.4163481228668946,80.46335121079149,138.2,0.3255555555555555,519283188669.8537,0.0591338740335045
0.0022222222222222,3.44,1.4081879194630875,81.01645893256631,138.2,0.3311111111111111,511010087327.8643,0.0582896164307074
0.027892561983471,3.44,1.423782991202346,83.65999162128193,138.2,0.3522727272727273,430488812112.45306,0.0479538694661877
0.0692464358452138,3.4399999999999995,1.392820512820513,78.2094017094017,138.2,0.3177189409368635,473921630890.40674,0.0521869265144199
0.1052631578947368,3.44,1.978,38.3,138.2,0.2631578947368421,23536290433869.555,0.1971937287311618
0.4285714285714285,3.44,1.915,44.6875,138.2,0.1142857142857142,1885231840942.7356,0.0958922379301147
0.4252873563218391,3.44,1.9635,46.75,138.2,0.1149425287356322,1595397724040.9976,0.0915601023017902
0.4444444444444444,2.55,1.96,69.0,198.0,0.1111111111111111,465678965568.46185,0.0579710144927536
0.4444444444444444,2.58,1.96,69.0,184.0,0.1111111111111111,465678965568.46185,0.0579710144927536
0.4,2.58,2.1281666666666665,26.45,184.0,0.12,26516761659965.0,0.225634865276809
0.3902439024390244,3.44,2.154,22.800000000000004,138.2,0.1219512195121951,31452076289735.47,0.2526854219948849
0.3902439024390244,3.44,1.706,41.8,138.2,0.1219512195121951,2575075571670.925,0.11555081355028
