group_id,pair_id,化学式_a,化学式_b,family,source_row_a,source_row_b,电导率_a_S_cm-1,电导率_b_S_cm-1,真实电导率变化值_S_cm-1,真实趋势标签,预测趋势标签,预测正确,probability_decrease,probability_unchanged,probability_increase
group1,exp_pair_0001,Li5.7PS4.7Cl1.3,Li5.5PS4.5Cl1.5,argyrodites,1,2,0.0081,0.010116,0.0020160000000000004,increase,decrease,False,0.660257693013003,0.11526218117372852,0.22448012581326868
group1,exp_pair_0002,Li5.5PS4.5Cl1.5,Li5.4PS4.4Cl1.6,argyrodites,2,3,0.010116,0.007137,-0.002979,decrease,decrease,True,0.6370030048750271,0.12953655995602875,0.23346043516894463
group1,exp_pair_0003,Li5.4PS4.4Cl1.6,Li5.3PS4.3Cl1.7,argyrodites,3,4,0.007137,0.007295,0.00015800000000000015,increase,decrease,False,0.6163154960567877,0.14230687054474794,0.241377633398465
group1,exp_pair_0004,Li5.3PS4.3Cl1.7,Li5.5PS4.5Cl1.45I0.05,argyrodites,4,5,0.007295,0.013723,0.0064280000000000006,increase,decrease,False,0.44446088040056825,0.11379614332788017,0.4417429762715515
group1,exp_pair_0005,Li5.5PS4.5Cl1.45I0.05,Li5.5PS4.5Cl1.4I0.1,argyrodites,5,6,0.013723,0.010312,-0.003411000000000001,decrease,decrease,True,0.6369421283835788,0.15554267216205112,0.20751519945437008
group1,exp_pair_0006,Li5.5PS4.5Cl1.4I0.1,Li5.5PS4.5Cl1.35I0.15,argyrodites,6,7,0.010312,0.010565,0.00025299999999999975,increase,decrease,False,0.6337685887608976,0.16010520194513372,0.20612620929396863
group1,exp_pair_0007,Li5.5PS4.5Cl1.35I0.15,Li5.5PS4.5Cl1.3I0.2,argyrodites,7,8,0.010565,0.008230000000000001,-0.0023349999999999985,decrease,decrease,True,0.6535706137300115,0.16663984900529288,0.17978953726469538
group1,exp_pair_0008,Li5.5PS4.5Cl1.3I0.2,Li5.5PS4.5Cl1.25I0.25,argyrodites,8,9,0.008230000000000001,0.0016040000000000002,-0.006626000000000001,decrease,decrease,True,0.6404142670018007,0.18266602331971055,0.1769197096784885
group1,exp_pair_0009,Li5.5PS4.5Cl1.25I0.25,Li5.4PS4.4ClBr0.6,argyrodites,9,10,0.0016040000000000002,0.01348,0.011876000000000001,increase,decrease,False,0.6903868809638768,0.13676202653344777,0.17285109250267547
group1,exp_pair_0010,Li5.4PS4.4ClBr0.6,Li5.4PS4.4ClBr0.6,argyrodites,10,11,0.01348,0.01348,0.0,unchanged,decrease,False,0.5622310327581845,0.21907412601751247,0.2186948412243029
group2,exp_pair_0011,Li3AsS4,Li5.5AsS4.5Br1.5,argyrodites,12,13,9.1e-05,0.01753,0.017439,increase,decrease,False,0.40941188840762,0.23833518625139438,0.3522529253409857
group2,exp_pair_0012,Li5.5AsS4.5Br1.5,Li5.5AsS4.3O0.2Br1.5,argyrodites,13,14,0.01753,0.013090000000000001,-0.0044399999999999995,decrease,decrease,True,0.43467166082744246,0.24399623871966872,0.32133210045288885
group2,exp_pair_0013,Li5.5AsS4.3O0.2Br1.5,Li5.5AsS4.1O0.4Br1.5,argyrodites,14,15,0.013090000000000001,0.01118,-0.0019100000000000002,decrease,decrease,True,0.4324286073154608,0.2372720980583683,0.3302992946261709
group2,exp_pair_0014,Li5.5AsS4.1O0.4Br1.5,Li5.5AsS3.8O0.7Br1.5,argyrodites,15,16,0.01118,0.00875,-0.00243,decrease,decrease,True,0.39519334513318716,0.21026335620326925,0.3945432986635438
group2,exp_pair_0015,Li5.5AsS3.8O0.7Br1.5,Li5.5AsS2.5O2Br1.5,argyrodites,16,17,0.00875,0.0002817,-0.008468300000000002,decrease,decrease,True,0.4502134057645544,0.3286879859307174,0.22109860830472855
group2,exp_pair_0016,Li5.5AsS2.5O2Br1.5,Li5.5As0.9Sb0.1S4.5Br1.5,argyrodites,17,18,0.0002817,0.01685,0.0165683,increase,increase,True,0.30949267210419595,0.2622760514488879,0.4282312764469162
group2,exp_pair_0017,Li5.5As0.9Sb0.1S4.5Br1.5,Li5.5As0.9Sb0.2S4.5Br1.5,argyrodites,18,19,0.01685,0.00906,-0.00779,decrease,increase,False,0.33805647663458815,0.2742032304251644,0.38774029294024753
